Model Name,Raw Accuracy Scores,Accuracy Mean,Accuracy Std,Training Time
Logistic Regression,"[0.9652777777777778, 0.9618055555555556, 0.9721254355400697, 0.9651567944250871, 0.9616724738675958, 0.9652777777777778, 0.9791666666666666, 0.9616724738675958, 0.9686411149825784, 0.9860627177700348, 0.9618055555555556, 0.9722222222222222, 0.9581881533101045, 0.9825783972125436, 0.9686411149825784]",0.9686862821009161,0.008315579916191985,0.030125761032104494
KNN,"[0.9756944444444444, 0.9583333333333334, 0.9721254355400697, 0.9860627177700348, 0.9651567944250871, 0.9722222222222222, 0.9930555555555556, 0.9651567944250871, 0.9512195121951219, 0.975609756097561, 0.96875, 0.9791666666666666, 0.9616724738675958, 0.9790940766550522, 0.9721254355400697]",0.9716963479158601,0.01068258328406572,0.0005985577901204427
Random Forest,"[0.9861111111111112, 0.9652777777777778, 0.9581881533101045, 0.9721254355400697, 0.9790940766550522, 0.96875, 0.9965277777777778, 0.9581881533101045, 0.975609756097561, 0.9581881533101045, 0.9756944444444444, 0.9652777777777778, 0.9651567944250871, 0.975609756097561, 0.9790940766550522]",0.9719262162859723,0.010892660342884667,0.24624121983846028
Gradient Boosting,"[0.9652777777777778, 0.9722222222222222, 0.9686411149825784, 0.9616724738675958, 0.9581881533101045, 0.9583333333333334, 0.9895833333333334, 0.9616724738675958, 0.9721254355400697, 0.975609756097561, 0.9618055555555556, 0.9652777777777778, 0.9686411149825784, 0.9721254355400697, 0.9651567944250871]",0.9677555168408828,0.008047216204270019,1.9321799596150717
SVM,"[0.9930555555555556, 0.9722222222222222, 0.9616724738675958, 0.9790940766550522, 0.9825783972125436, 0.9826388888888888, 0.9930555555555556, 0.9721254355400697, 0.975609756097561, 0.9895470383275261, 0.9826388888888888, 0.9895833333333334, 0.975609756097561, 0.9790940766550522, 0.9790940766550522]",0.9805079687701638,0.008618906869193265,0.03567784627278646
MLP,"[0.9861111111111112, 0.9652777777777778, 0.9581881533101045, 0.9860627177700348, 0.9721254355400697, 0.9791666666666666, 0.9965277777777778, 0.9616724738675958, 0.9721254355400697, 0.9825783972125436, 0.96875, 0.9722222222222222, 0.9686411149825784, 0.9895470383275261, 0.975609756097561]",0.975640405213576,0.01085106395929092,1.2122196992238363
