iter	Passed	Remaining
284	70470	176795
285	70719	176551
286	70979	176335
287	71233	176105
288	71455	175794
289	71711	175570
290	71969	175348
291	72229	175130
292	72489	174915
293	72730	174651
294	72994	174444
295	73225	174158
296	73487	173944
297	73729	173685
298	73983	173453
299	74238	173222
300	74467	172932
301	74715	172687
302	74971	172458
303	75224	172223
304	75457	171943
305	75716	171723
306	75965	171478
307	76215	171238
308	76479	171026
309	76726	170778
310	76983	170552
311	77217	170274
312	77474	170048
313	77729	169817
314	77956	169524
315	78214	169299
316	78469	169068
317	78726	168841
318	78971	168588
319	79183	168264
320	79440	168037
321	79687	167788
322	79921	167514
323	80149	167225
324	80395	166976
325	80646	166736
326	80892	166484
327	81148	166255
328	81400	166016
329	81650	165775
330	81910	165553
331	82135	165259
332	82387	165022
333	82632	164770
334	82893	164550
335	83148	164318
336	83403	164084
337	83649	163834
338	83895	163582
339	84137	163326
340	84400	163109
341	84654	162873
342	84903	162628
343	85131	162344
344	85365	162071
345	85623	161843
346	85882	161616
347	86139	161388
348	86379	161125
349	86623	160871
350	86876	160634
351	87121	160383
352	87374	160146
353	87621	159897
354	87863	159639
355	88098	159369
356	88342	159116
357	88578	158846
358	88834	158616
359	89101	158402
360	89356	158169
361	89580	157879
362	89825	157628
363	90067	157370
364	90310	157115
365	90565	156881
366	90820	156647
367	91089	156436
368	91310	156143
369	91576	155928
370	91819	155671
371	92075	155439
372	92328	155200
373	92580	154960
374	92819	154699
375	93072	154460
376	93313	154202
377	93565	153962
378	93783	153665
379	94030	153417
380	94285	153182
381	94531	152932
382	94781	152689
383	95015	152420
384	95278	152197
385	95518	151938
386	95774	151704
387	96035	151479
388	96285	151235
389	96532	150986
390	96778	150736
391	97004	150456
392	97258	150219
393	97510	149978
394	97763	149739
395	97998	149471
396	98248	149228
397	98490	148972
398	98734	148720
399	98985	148478
400	99219	148210
401	99471	147970
402	99714	147715
403	99939	147434
404	100175	147171
405	100427	146930
406	100662	146666
407	100917	146429
408	101173	146194
409	101418	145944
410	101673	145707
411	101926	145468
412	102183	145234
413	102458	145025
414	102705	144777
415	102961	144542
416	103212	144299
417	103478	144078
418	103725	143828
419	103970	143578
420	104192	143295
421	104445	143055
422	104700	142818
423	104948	142571
424	105182	142305
425	105419	142044
426	105665	141795
427	105912	141546
428	106170	141313
429	106421	141070
430	106663	140815
431	106928	140590
432	107165	140329
433	107398	140062
434	107650	139821
435	107891	139565
436	108116	139289
437	108366	139046
438	108615	138799
439	108865	138556
440	109119	138316
441	109372	138077
442	109629	137840
443	109884	137602
444	110140	137365
445	110397	137130
446	110650	136889
447	110894	136637
448	111140	136388
449	111369	136118
450	111615	135869
451	111854	135610
452	112098	135359
453	112360	135129
454	112589	134859
455	112846	134624
456	113105	134390
457	113329	134115
458	113576	133867
459	113824	133620
460	114076	133377
461	114299	133101
462	114550	132858
463	114774	132584
464	115027	132343
465	115283	132106
466	115532	131860
467	115799	131634
468	116040	131380
469	116283	131127
470	116534	130884
471	116792	130648
472	117031	130392
473	117299	130167
474	117538	129911
475	117788	129666
476	118047	129431
477	118290	129179
478	118555	128950
479	118806	128707
480	119069	128476
481	119319	128231
482	119569	127986
483	119803	127724
484	120050	127476
485	120277	127206
486	120519	126953
487	120743	126682
488	120988	126431
489	121244	126193
490	121467	125919
491	121725	125684
492	121973	125437
493	122204	125173
494	122476	124950
495	122705	124685
496	122947	124431
497	123175	124164
498	123435	123930
499	123695	123695
500	123936	123441
501	124189	123199
502	124437	122952
503	124678	122699
504	124932	122458
505	125154	122186
506	125419	121956
507	125685	121727
508	125931	121477
509	126193	121244
510	126425	120982
511	126656	120719
512	126896	120465
513	127153	120226
514	127408	119986
515	127653	119737
516	127894	119483
517	128150	119243
518	128381	118982
519	128590	118698
520	128849	118462
521	129096	118215
522	129357	117979
523	129610	117737
524	129851	117484
525	130097	117236
526	130337	116982
527	130590	116739
528	130844	116498
529	131092	116251
530	131349	116012
531	131601	115769
532	131867	115538
533	132114	115291
534	132380	115059
535	132612	114798
536	132862	114553
537	133120	114315
538	133346	114049
539	133607	113813
540	133859	113570
541	134100	113317
542	134341	113064
543	134604	112830
544	134830	112564
545	135085	112323
546	135349	112089
547	135572	111822
548	135822	111577
549	136079	111337
550	136324	111088
551	136579	110847
552	136833	110604
553	137074	110352
554	137318	110102
555	137577	109863
556	137831	109621
557	138069	109366
558	138324	109125
559	138572	108878
560	138833	108641
561	139095	108405
562	139322	108141
563	139579	107901
564	139828	107655
565	140085	107415
566	140349	107180
567	140591	106928
568	140824	106670
569	141052	106407
570	141280	106146
571	141540	105907
572	141795	105666
573	142051	105424
574	142317	105191
575	142564	104943
576	142806	104691
577	143062	104450
578	143306	104200
579	143530	103935
580	143791	103697
581	144036	103448
582	144297	103211
583	144547	102965
584	144797	102719
585	145048	102474
586	145302	102231
587	145550	101984
588	145791	101732
589	146037	101484
590	146260	101219
591	146502	100967
592	146759	100726
593	146987	100466
594	147226	100212
595	147462	99958
596	147717	99715
597	147979	99477
598	148234	99235
599	148482	98988
600	148744	98750
601	148971	98489
602	149220	98242
603	149456	97987
604	149713	97747
605	149968	97504
606	150224	97262
607	150462	97009
608	150714	96764
609	150946	96506
610	151207	96268
611	151443	96013
612	151690	95765
613	151951	95526
614	152198	95278
615	152444	95030
616	152683	94777
617	152923	94525
618	153146	94262
619	153397	94017
620	153646	93771
621	153890	93521
622	154136	93273
623	154395	93033
624	154659	92795
625	154914	92552
626	155138	92291
627	155375	92037
628	155630	91794
629	155892	91556
630	156124	91299
631	156380	91056
632	156631	90811
633	156875	90562
634	157132	90320
635	157389	90078
636	157636	89830
637	157890	89586
638	158157	89350
639	158421	89111
640	158665	88862
641	158906	88611
642	159155	88364
643	159408	88120
644	159667	87878
645	159914	87631
646	160162	87383
647	160401	87131
648	160627	86872
649	160883	86629
650	161145	86389
651	161410	86151
652	161658	85904
653	161906	85657
654	162118	85390
655	162366	85143
656	162611	84894
657	162865	84650
658	163123	84408
659	163366	84158
660	163600	83903
661	163863	83664
662	164076	83399
663	164345	83162
664	164601	82919
665	164840	82667
666	165097	82425
667	165348	82179
668	165605	81936
669	165828	81676
670	166075	81429
671	166340	81189
672	166598	80947
673	166854	80703
674	167098	80454
675	167355	80211
676	167619	79972
677	167866	79724
678	168116	79477
679	168370	79233
680	168602	78978
681	168862	78736
682	169102	78485
683	169357	78241
684	169612	77996
685	169870	77754
686	170110	77502
687	170366	77259
688	170624	77016
689	170886	76775
690	171139	76529
691	171405	76290
692	171637	76035
693	171897	75793
694	172150	75548
695	172406	75304
696	172663	75060
697	172924	74818
698	173190	74578
699	173419	74322
700	173674	74077
701	173926	73831
702	174175	73584
703	174402	73328
704	174644	73078
705	174887	72828
706	175123	72576
707	175372	72328
708	175617	72079
709	175875	71836
710	176102	71580
711	176326	71323
712	176578	71077
713	176842	70836
714	177076	70582
715	177333	70338
716	177571	70087
717	177796	69830
718	178045	69583
719	178290	69335
720	178543	69089
721	178800	68845
722	179048	68597
723	179313	68357
724	179547	68104
725	179798	67857
726	180031	67604
727	180281	67358
728	180527	67109
729	180758	66855
730	181010	66609
731	181252	66360
732	181493	66110
733	181729	65858
734	181985	65613
735	182238	65368
736	182497	65124
737	182746	64877
738	183002	64632
739	183248	64384
740	183499	64138
741	183737	63887
742	183968	63633
743	184208	63383
744	184448	63133
745	184691	62884
746	184937	62636
747	185199	62393
748	185460	62150
749	185710	61903
750	185941	61650
751	186190	61403
752	186427	61152
753	186683	60907
754	186945	60664
755	187204	60420
756	187458	60174
757	187673	59916
758	187937	59674
759	188181	59425
760	188442	59182
761	188683	58932
762	188931	58685
763	189160	58431
764	189404	58183
765	189668	57940
766	189926	57696
767	190178	57449
768	190426	57202
769	190674	56954
770	190890	56697
771	191138	56450
772	191403	56207
773	191647	55959
774	191905	55714
775	192130	55460
776	192389	55216
777	192657	54974
778	192912	54728
779	193154	54479
780	193379	54225
781	193644	53982
782	193899	53737
783	194144	53488
784	194390	53240
785	194618	52987
786	194866	52740
787	195083	52484
788	195338	52238
789	195576	51988
790	195821	51740
791	196078	51495
792	196332	51249
793	196579	51001
794	196824	50753
795	197077	50507
796	197327	50260
797	197579	50013
798	197823	49765
799	198064	49516
800	198309	49267
801	198573	49024
802	198815	48775
803	199075	48530
804	199317	48281
805	199560	48033
806	199799	47783
807	200040	47534
808	200289	47287
809	200528	47037
810	200768	46788
811	201030	46544
812	201251	46290
813	201506	46044
814	201784	45803
815	202009	45551
816	202225	45296
817	202477	45050
818	202737	44805
819	202997	44560
820	203241	44312
821	203496	44066
822	203753	43820
823	204009	43574
824	204271	43330
825	204516	43082
826	204745	42830
827	204995	42583
828	205246	42336
829	205495	42089
830	205717	41836
831	205972	41590
832	206215	41342
833	206437	41089
834	206675	40840
835	206916	40591
836	207167	40344
837	207409	40095
838	207653	39847
839	207889	39597
840	208122	39347
841	208377	39101
842	208603	38850
843	208857	38603
844	209106	38356
845	209362	38110
846	209619	37865
847	209864	37617
848	210122	37371
849	210376	37125
850	210618	36876
851	210849	36626
852	211106	36380
853	211357	36133
854	211609	35887
855	211871	35641
856	212110	35393
857	212373	35148
858	212598	34896
859	212840	34648
860	213087	34400
861	213326	34152
862	213578	33905
863	213816	33656
864	214046	33406
865	214292	33158
866	214526	32908
867	214783	32662
868	215029	32415
869	215289	32169
870	215546	31923
871	215761	31671
872	215995	31422
873	216245	31175
874	216474	30924
875	216717	30676
876	216971	30430
877	217217	30182
878	217475	29936
879	217729	29690
880	217977	29443
881	218234	29196
882	218485	28950
883	218718	28700
884	218963	28452
885	219193	28203
886	219449	27956
887	219682	27707
888	219931	27460
889	220183	27213
890	220423	26965
891	220654	26715
892	220894	26467
893	221150	26221
894	221397	25974
895	221649	25727
896	221874	25477
897	222124	25230
898	222338	24979
899	222577	24730
900	222828	24483
901	223076	24236
902	223300	23986
903	223558	23740
904	223800	23492
905	224063	23247
906	224311	22999
907	224566	22753
908	224821	22506
909	225076	22260
910	225329	22013
911	225575	21766
912	225820	21518
913	226071	21271
914	226335	21025
915	226590	20779
916	226819	20529
917	227059	20281
918	227307	20034
919	227540	19786
920	227793	19539
921	228049	19292
922	228290	19044
923	228534	18797
924	228776	18549
925	229022	18301
926	229265	18054
927	229511	17806
928	229745	17558
929	230010	17312
930	230257	17065
931	230499	16817
932	230741	16569
933	230985	16322
934	231235	16075
935	231451	15825
936	231703	15578
937	231959	15332
938	232214	15085
939	232462	14838
940	232711	14590
941	232928	14341
942	233179	14094
943	233411	13846
944	233668	13599
945	233912	13352
946	234171	13105
947	234419	12858
948	234656	12610
949	234898	12363
950	235137	12115
951	235385	11868
952	235630	11620
953	235889	11374
954	236137	11126
955	236389	10879
956	236620	10631
957	236864	10384
958	237103	10136
959	237343	9889
960	237595	9642
961	237856	9395
962	238089	9147
963	238344	8900
964	238599	8653
965	238842	8406
966	239088	8159
967	239336	7911
968	239587	7664
969	239809	7416
970	240049	7169
971	240306	6922
972	240558	6675
973	240812	6428
974	241047	6180
975	241304	5933
976	241518	5685
977	241755	5438
978	242008	5191
979	242282	4944
980	242511	4696
981	242754	4449
982	242998	4202
983	243250	3955
984	243513	3708
985	243746	3460
986	244002	3213
987	244253	2966
988	244505	2719
989	244758	2472
990	245011	2225
991	245262	1977
992	245523	1730
993	245764	1483
994	246010	1236
995	246233	988
996	246488	741
997	246741	494
998	246979	247
999	247225	0
