iter	Passed	Remaining
172	646	3091
173	649	3083
174	652	3077
175	656	3075
176	660	3070
177	663	3065
178	666	3058
179	669	3050
180	672	3043
181	675	3035
182	678	3028
183	681	3020
184	683	3012
185	686	3004
186	689	2996
187	692	2991
188	695	2985
189	699	2980
190	701	2971
191	704	2964
192	708	2960
193	711	2957
194	714	2950
195	717	2943
196	720	2935
197	722	2927
198	725	2919
199	728	2912
200	730	2905
201	733	2897
202	736	2890
203	738	2883
204	742	2877
205	745	2871
206	747	2864
207	750	2857
208	753	2850
209	756	2844
210	758	2837
211	761	2829
212	763	2822
213	766	2815
214	769	2807
215	772	2802
216	775	2796
217	777	2789
218	780	2782
219	783	2778
220	787	2774
221	790	2768
222	793	2763
223	795	2756
224	798	2751
225	801	2745
226	804	2740
227	807	2733
228	810	2728
229	813	2722
230	815	2715
231	818	2709
232	821	2704
233	824	2698
234	826	2692
235	829	2685
236	832	2679
237	835	2674
238	838	2669
239	841	2663
240	843	2657
241	846	2651
242	849	2646
243	852	2640
244	854	2634
245	857	2627
246	859	2621
247	862	2615
248	865	2609
249	867	2603
250	870	2597
251	873	2591
252	875	2585
253	878	2580
254	881	2574
255	883	2569
256	886	2563
257	889	2558
258	892	2552
259	894	2547
260	897	2541
261	900	2535
262	902	2530
263	905	2524
264	908	2519
265	910	2513
266	913	2507
267	916	2502
268	918	2496
269	921	2490
270	924	2485
271	926	2480
272	929	2474
273	932	2469
274	934	2464
275	937	2458
276	940	2453
277	942	2448
278	945	2443
279	948	2438
280	951	2433
281	953	2428
282	956	2423
283	959	2417
284	961	2412
285	964	2407
286	966	2402
287	969	2397
288	972	2393
289	975	2388
290	978	2383
291	981	2379
292	985	2377
293	989	2375
294	992	2371
295	995	2366
296	998	2362
297	1000	2357
298	1003	2352
299	1006	2348
300	1009	2343
301	1012	2339
302	1014	2334
303	1017	2330
304	1020	2326
305	1023	2321
306	1026	2317
307	1029	2313
308	1032	2309
309	1035	2304
310	1037	2299
311	1040	2294
312	1043	2290
313	1046	2285
314	1048	2280
315	1051	2275
316	1053	2270
317	1056	2265
318	1059	2261
319	1061	2256
320	1064	2252
321	1067	2247
322	1069	2242
323	1072	2237
324	1075	2233
325	1077	2228
326	1080	2223
327	1083	2219
328	1085	2214
329	1088	2209
330	1091	2206
331	1094	2201
332	1097	2197
333	1099	2192
334	1102	2188
335	1105	2183
336	1107	2179
337	1110	2174
338	1112	2170
339	1115	2165
340	1118	2160
341	1120	2156
342	1123	2152
343	1126	2148
344	1129	2143
345	1131	2139
346	1134	2134
347	1137	2130
348	1139	2126
349	1142	2121
350	1145	2117
351	1147	2113
352	1150	2108
353	1153	2105
354	1156	2100
355	1158	2096
356	1161	2091
357	1163	2087
358	1166	2083
359	1169	2079
360	1172	2074
361	1174	2070
362	1177	2066
363	1180	2062
364	1183	2059
365	1186	2055
366	1189	2051
367	1192	2047
368	1195	2043
369	1197	2039
370	1200	2035
371	1203	2031
372	1206	2027
373	1209	2024
374	1211	2019
375	1214	2015
376	1217	2011
377	1220	2008
378	1223	2004
379	1226	2000
380	1229	1996
381	1231	1992
382	1235	1989
383	1237	1985
384	1240	1981
385	1242	1977
386	1245	1973
387	1248	1969
388	1251	1965
389	1253	1961
390	1256	1957
391	1259	1953
392	1262	1949
393	1264	1945
394	1267	1941
395	1270	1937
396	1273	1933
397	1275	1929
398	1278	1925
399	1281	1922
400	1283	1917
401	1286	1913
402	1289	1909
403	1292	1906
404	1294	1902
405	1297	1898
406	1300	1894
407	1303	1891
408	1306	1887
409	1308	1883
410	1311	1879
411	1313	1875
412	1316	1871
413	1319	1867
414	1322	1863
415	1324	1859
416	1327	1855
417	1330	1852
418	1332	1848
419	1335	1844
420	1338	1840
421	1340	1836
422	1343	1832
423	1346	1828
424	1348	1824
425	1351	1821
426	1354	1817
427	1356	1813
428	1359	1809
429	1362	1806
430	1365	1802
431	1368	1799
432	1371	1795
433	1373	1791
434	1376	1787
