Model Name,Mean Accuracy,Std Dev,Average Training Time
Logistic Regression,0.9686862821009161,0.0011975803820828536,0.03202555974324544
KNN,0.9716963479158601,0.0015384678278483601,0.00166168212890625
Random Forest,0.9719262162859723,0.0015687223821792442,0.39951601028442385
Gradient Boosting,0.9677555168408828,0.0011589315903088875,3.8701201756795247
SVM,0.9805079687701638,0.0012412644560659525,0.06364946365356446
MLP,0.975640405213576,0.001562731818266742,1.3264093399047852
